#run                                              hdice sig                                              | old_sharp new_sharp | old_soft new_soft
------------------------------------------------------------------------------------------------------------------------------------------------------
CamEnvDiff-v0__train_csg__1__1783544918478      0.6281 target_shape=sphere init_mode=random w_residual=1.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9446 |   0.1768   0.1767
CamEnvDiff-v0__train_csg__1__1783545047470      0.5714 target_shape=sphere init_mode=zlayer w_residual=1.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9368 |   0.1024   0.1025
CamEnvDiff-v0__train_csg__1__1783545047503      0.6434 target_shape=sphere init_mode=raster_fine_wide w_residual=1.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9361 |   0.1945   0.1946
CamEnvDiff-v0__train_csg__1__1783545124123      0.6413 target_shape=sphere init_mode=raster_fine w_residual=1.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9524 |   0.1966   0.1967
CamEnvDiff-v0__train_csg__1__1783545124139      0.6341 target_shape=sphere init_mode=spiral w_residual=1.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9528 |   0.2012   0.2012
CamEnvDiff-v0__train_csg__1__1783545124152      0.6537 target_shape=sphere init_mode=raster w_residual=1.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9398 |   0.2286   0.2287
CamEnvDiff-v0__train_csg__1__1783545124190      0.6055 target_shape=sphere init_mode=shell w_residual=1.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9483 |   0.1195   0.1195
CamEnvDiff-v0__train_csg__1__1783545124233      0.6111 target_shape=sphere init_mode=zlayer w_residual=1.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9380 |   0.1345   0.1346
CamEnvDiff-v0__train_csg__1__1783548041831      0.6002 target_shape=sphere init_mode=multidepth w_residual=1.0 multidepth_revs=12.0 feed_ipm=60.0 w_gouge=4.0 max_steps=128 |    1.0000    0.8618 |   0.1528   0.1556
CamEnvDiff-v0__train_csg__1__1783548041869      0.6002 target_shape=sphere init_mode=multidepth w_residual=1.0 multidepth_revs=12.0 feed_ipm=60.0 w_gouge=4.0 max_steps=128 |    1.0000    0.8220 |   0.1549   0.1572
